Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
251,The Elder Scrolls IV Oblivion,XThreeSixZero,2006,Role Playing,TakeTwo Interactive,2.82,1.05,0.13,0.4,4.39
252,Zelda II The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
253,Need for Speed Most Wanted,PSTow,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
254,Resistance Fall of Man,PSThree,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,PSTow,2005,Role Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
259,Asteroids,TowSixZeroZero,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
260,Fable II,XThreeSixZero,2008,Role Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
261,Halo Five Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
262,Super Mario ThreeD World,WiiU,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
263,Batman Arkham Asylum,PSThree,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassins Creed Revelations,PSThree,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
266,Metal Gear Solid Three Snake Eater,PSTow,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23
267,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22
268,Warcraft II Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
270,FIFA Soccer ZeroSix,PSTow,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
271,EyeToy Play,PSTow,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
272,Uncharted Four A Thiefs End,PSFour,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo Five Prologue,PSThree,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
275,Street Fighter IV,PSThree,2009,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
277,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
278,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
279,Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16
280,Madden NFL TwoZeroZeroThree,PSTow,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
281,Watch Dogs,PSFour,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
282,HalfLife,PC,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
283,Super Mario World Two Yoshis Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
284,FIFA Soccer ZeroSeven,PSTow,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
285,The Legend of Zelda Skyward Sword,Wii,2011,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
286,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
287,Carnival Games,Wii,2007,Misc,TakeTwo Interactive,2.13,1.5,0.05,0.42,4.1
289,World of Warcraft The Burning Crusade,PC,2007,Role Playing,Activision,2.57,1.52,0.0,0.0,4.09
290,Fallout New Vegas,XThreeSixZero,2010,Role Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
291,God of War II,PSTow,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
292,Forza Motorsport Two,XThreeSixZero,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
293,World Soccer Winning Eleven Nine,PSTow,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
294,Namco Museum VolThree,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
295,Tekken Tag Tournament,PSTow,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
296,Far Cry Four,PSFour,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
297,Star Fox SixFour,NSixFour,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
299,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
301,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0
302,Left Four Dead Two,XThreeSixZero,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
